A,size,NNZ,time,memory_usage,relative_error,host,platform,runtime_version,library,library_version
Flan_1565.mat,1564794,114165372,505.366,15889,5.335019750754636e-10,T14,LINUX,3.10.7,scipy,1.8.1
StocF-1465.mat,1465137,21005389,357.167,10633,1.897430025033636e-08,T14,LINUX,3.10.7,scipy,1.8.1
cfd1.mat,70656,1825580,2.933,686,1.1128217184374516e-11,T14,LINUX,3.10.7,scipy,1.8.1
cfd2.mat,123440,3085406,14.708,853,1.6563843956904544e-11,T14,LINUX,3.10.7,scipy,1.8.1
apache2.mat,715176,4817870,65.471,1889,1.7002810737777334e-10,T14,LINUX,3.10.7,scipy,1.8.1
G3_circuit.mat,1585478,7660826,94.439,1706,3.340374170407253e-11,T14,LINUX,3.10.7,scipy,1.8.1
parabolic_fem.mat,525825,3674625,23.58,975,1.915148942940806e-11,T14,LINUX,3.10.7,scipy,1.8.1
shallow_water1.mat,81920,327680,10.179,501,3.2771217611953454e-16,T14,LINUX,3.10.7,scipy,1.8.1
ex15.mat,6867,98671,0.273,500,3.499453003188838e-07,T14,LINUX,3.10.7,scipy,1.8.1
