A,size,NNZ,time,memory_usage,relative_error,host,platform,runtime_version,library,library_version
cfd1.mat,70656,1825580,6.5428799,1302.863872,6.34538478147565e-13,T14,WINDOWS,9.13.0.2193358 (R2022b) Update 5,MATLAB,9.13.0.2193358 (R2022b) Update 5
cfd2.mat,123440,3085406,13.0648873,2503.077888,7.98365236412681e-13,T14,WINDOWS,9.13.0.2193358 (R2022b) Update 5,MATLAB,9.13.0.2193358 (R2022b) Update 5
apache2.mat,715176,4817870,646.1916536,27490.578432,3.65749682951366e-11,T14,WINDOWS,9.13.0.2193358 (R2022b) Update 5,MATLAB,9.13.0.2193358 (R2022b) Update 5
shallow_water1.mat,81920,327680,2.0901203,368.930816,3.07688798314869e-16,T14,WINDOWS,9.13.0.2193358 (R2022b) Update 5,MATLAB,9.13.0.2193358 (R2022b) Update 5
ex15.mat,6867,98671,0.0584059,4.145152,8.21380186712579e-07,T14,WINDOWS,9.13.0.2193358 (R2022b) Update 5,MATLAB,9.13.0.2193358 (R2022b) Update 5
