A,size,NNZ,time,memory_usage,relative_error,host,platform,runtime_version,library,library_version
cfd1.mat,70656,1825580,1.491746168,540.850114,7.066262337782121e-14,T14,LINUX,1.9.0,LinearAlgebra,1.9.0
cfd2.mat,123440,3085406,2.661646487,1019.363912,3.075760633768891e-13,T14,LINUX,1.9.0,LinearAlgebra,1.9.0
apache2.mat,715176,4817870,7.992152069,2346.681688,5.603392489040284e-11,T14,LINUX,1.9.0,LinearAlgebra,1.9.0
G3_circuit.mat,1585478,7660826,12.45857964,3070.81056,4.887054562149133e-12,T14,LINUX,1.9.0,LinearAlgebra,1.9.0
parabolic_fem.mat,525825,3674625,3.395525504,771.372976,7.128437228669382e-13,T14,LINUX,1.9.0,LinearAlgebra,1.9.0
shallow_water1.mat,81920,327680,0.554131975,75.019984,2.016529302783865e-16,T14,LINUX,1.9.0,LinearAlgebra,1.9.0
ex15.mat,6867,98671,0.026332364,11.48252,5.814971198179812e-7,T14,LINUX,1.9.0,LinearAlgebra,1.9.0
