A,size,NNZ,time,memory_usage,relative_error,host,platform,runtime_version,library,library_version
cfd1.mat,70656,1825580,3.856404,1286.216688,6.34538478147565e-13,T14,LINUX,9.14.0.2254940 (R2023a) Update 2,MATLAB,9.14.0.2254940 (R2023a) Update 2
cfd2.mat,123440,3085406,6.551126,18446744071912.7,7.98365236412681e-13,T14,LINUX,9.14.0.2254940 (R2023a) Update 2,MATLAB,9.14.0.2254940 (R2023a) Update 2
shallow_water1.mat,81920,327680,1.719649,368.864848,3.07688798314869e-16,T14,LINUX,9.14.0.2254940 (R2023a) Update 2,MATLAB,9.14.0.2254940 (R2023a) Update 2
ex15.mat,6867,98671,0.050303,4.187008,8.21380186712579e-07,T14,LINUX,9.14.0.2254940 (R2023a) Update 2,MATLAB,9.14.0.2254940 (R2023a) Update 2
