A,size,NNZ,time,memory_usage,relative_error,host,platform,runtime_version,library,library_version
cfd1.mat,70656,1825580,76.960429718,992.040064,4.524303391439539E-11,T14,LINUX,19.0.1+10-21,org.ejml,0.43
cfd2.mat,123440,3085406,121.923875496,1927.05208,2.1932051396925667E-11,T14,LINUX,19.0.1+10-21,org.ejml,0.43
shallow_water1.mat,81920,327680,10.415771645,290.06028,3.559139388951707E-16,T14,LINUX,19.0.1+10-21,org.ejml,0.43
ex15.mat,6867,98671,0.008985164,5.121312,8.007992879830333E-7,T14,LINUX,19.0.1+10-21,org.ejml,0.43
